category,difficulty,question,option1,option2,option3,option4,answer
Типы тестирования,Лёгкий,[Типы тестирования] Лёгкий — Вопрос 1,A вариант,B вариант,C вариант,D вариант,D вариант
Типы тестирования,Лёгкий,[Типы тестирования] Лёгкий — Вопрос 2,A вариант,B вариант,C вариант,D вариант,B вариант
Типы тестирования,Лёгкий,[Типы тестирования] Лёгкий — Вопрос 3,A вариант,B вариант,C вариант,D вариант,A вариант
Типы тестирования,Лёгкий,[Типы тестирования] Лёгкий — Вопрос 4,A вариант,B вариант,C вариант,D вариант,C вариант
Типы тестирования,Лёгкий,[Типы тестирования] Лёгкий — Вопрос 5,A вариант,B вариант,C вариант,D вариант,C вариант
Типы тестирования,Лёгкий,[Типы тестирования] Лёгкий — Вопрос 6,A вариант,B вариант,C вариант,D вариант,C вариант
Типы тестирования,Лёгкий,[Типы тестирования] Лёгкий — Вопрос 7,A вариант,B вариант,C вариант,D вариант,D вариант
Типы тестирования,Лёгкий,[Типы тестирования] Лёгкий — Вопрос 8,A вариант,B вариант,C вариант,D вариант,B вариант
Типы тестирования,Лёгкий,[Типы тестирования] Лёгкий — Вопрос 9,A вариант,B вариант,C вариант,D вариант,C вариант
Типы тестирования,Лёгкий,[Типы тестирования] Лёгкий — Вопрос 10,A вариант,B вариант,C вариант,D вариант,D вариант
Типы тестирования,Лёгкий,[Типы тестирования] Лёгкий — Вопрос 11,A вариант,B вариант,C вариант,D вариант,C вариант
Типы тестирования,Лёгкий,[Типы тестирования] Лёгкий — Вопрос 12,A вариант,B вариант,C вариант,D вариант,D вариант
Типы тестирования,Лёгкий,[Типы тестирования] Лёгкий — Вопрос 13,A вариант,B вариант,C вариант,D вариант,A вариант
Типы тестирования,Лёгкий,[Типы тестирования] Лёгкий — Вопрос 14,A вариант,B вариант,C вариант,D вариант,C вариант
Типы тестирования,Лёгкий,[Типы тестирования] Лёгкий — Вопрос 15,A вариант,B вариант,C вариант,D вариант,A вариант
Типы тестирования,Лёгкий,[Типы тестирования] Лёгкий — Вопрос 16,A вариант,B вариант,C вариант,D вариант,A вариант
Типы тестирования,Лёгкий,[Типы тестирования] Лёгкий — Вопрос 17,A вариант,B вариант,C вариант,D вариант,B вариант
Типы тестирования,Лёгкий,[Типы тестирования] Лёгкий — Вопрос 18,A вариант,B вариант,C вариант,D вариант,A вариант
Типы тестирования,Лёгкий,[Типы тестирования] Лёгкий — Вопрос 19,A вариант,B вариант,C вариант,D вариант,C вариант
Типы тестирования,Лёгкий,[Типы тестирования] Лёгкий — Вопрос 20,A вариант,B вариант,C вариант,D вариант,B вариант
Типы тестирования,Средний,[Типы тестирования] Средний — Вопрос 1,A вариант,B вариант,C вариант,D вариант,B вариант
Типы тестирования,Средний,[Типы тестирования] Средний — Вопрос 2,A вариант,B вариант,C вариант,D вариант,C вариант
Типы тестирования,Средний,[Типы тестирования] Средний — Вопрос 3,A вариант,B вариант,C вариант,D вариант,C вариант
Типы тестирования,Средний,[Типы тестирования] Средний — Вопрос 4,A вариант,B вариант,C вариант,D вариант,A вариант
Типы тестирования,Средний,[Типы тестирования] Средний — Вопрос 5,A вариант,B вариант,C вариант,D вариант,C вариант
Типы тестирования,Средний,[Типы тестирования] Средний — Вопрос 6,A вариант,B вариант,C вариант,D вариант,C вариант
